,CLASS,TITLE_x,CASE_HISTORY,CLEAN_COMMENTS
1194,Ontario,Need to re-discover device on Ontario,"
*** NOTES 13/05/2019 06:12:40 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
Hi Team,

Please re-discover device on Ontario,

Regards,
Saraswathi, S


*** NOTES 16/05/2019 13:01:44 nxscn51 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 16/05/2019 13:01:45 nxscn51
Case Closed
",rediscover Ontario Saraswathi S nxscn51 nxscn51
1195,NIAB,NIAB : Ticketing or threshold settings related,"
*** NOTES 13/05/2019 08:03:39 FIXITBOT1 Action Type: PM Team
*** BTCOREDESK        AUTOMATED PASSWORD    FIXITBOT1
Service Request Case. Generated by BTFixIT Bridge Service Request System.

Application: NIAB
Name: Christine Note
UIN: 790044185
E-mail: christine.note@bt.com
Primary Contact: +32 2 7002441
Secondary Contact: +32495582441
--------------------------------

Customer/contract name : EUROCONTROL BTBE
--------------------------------
Full Description: Please disable autoticketing for the below site IDs


1649634 EGTTGB-2 BFG Site ID 3827421
1649634	EGTTGB-2 BFG Site ID 3827421
1651632	EDLLDE-1 BFG Site ID 3827360
1651362	LZBBSK-1 BFG Site ID 3820188
1650088	BIRDIS-1 BFG Site ID 3820168
1656540	UUUWRU-1 BFG Site ID 3827400
1649577	LIMMIT-1 BFG Site ID 3827367
1649584	LIRRIT-1 BFG Site ID 3827371
1651418	LDZOHR-1 BFG Site ID 3820147
1657915	EDUUDE-2 BFG Site ID 4015493
1658146	LECBES-1 BFG Site ID 4009555
1657831	LECMES-3 BFG Site ID 4010154


I will submit another request later on (after customer testing) when auto ticketing is to be enabled again.





**************************

Case should be dispatched to - APLSUPGSNIAB

[!<For Internal Use Only
BTFixIT Bridge Service Request Robot generated note!]


 
*** EMAIL OUT 13/05/2019 10:54:21 nxral63 Action Type: Internal email
Send to: [christine.note@bt.com]
CC List: [niab.support@bt.com;]
*** APLSUPGSNIAB        Rokya Logu  +91 8148352930  nxral63
Hi Christine,

Acknowledged, we are in the process of your request and will keep you updated.


Regards
NIAB

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

 
*** EMAIL OUT 15/05/2019 08:34:57 nxral63 Action Type: Internal email
Send to: [christine.note@bt.com]
CC List: [niab.support@bt.com]
*** APLSUPGSNIAB        Rokya Logu  +91 8148352930  nxral63
Hi Christine,

We have disabled auto ticketing for the mentioned site id's. Your request has been completed, hence we are closing this case.



Regards
NIAB

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

*** NOTES 15/05/2019 08:35:54 nxral63 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 15/05/2019 08:35:54 nxral63
Case Closed
",BTCOREDESK AUTOMATED PASSWORD Generated Application NIAB Christine Note UIN christinenote Primary Secondary Customer/contract EUROCONTROL BTBE Full Description disable autoticketing site IDs EGTTGB2 BFG Site EGTTGB2 BFG Site EDLLDE1 BFG Site LZBBSK1 BFG Site BIRDIS1 BFG Site UUUWRU1 BFG Site LIMMIT1 BFG Site LIRRIT1 BFG Site LDZOHR1 BFG Site EDUUDE2 BFG Site LECBES1 BFG Site LECMES3 BFG Site submit another later testing auto ticketing enabled dispatched APLSUPGSNIAB Use Only Robot EMAIL OUT nxral63 Send christinenote CC List niabsupport APLSUPGSNIAB nxral63 Christine Acknowledged process keep updated NIAB reply queries box monitored EMAIL OUT nxral63 Send christinenote CC List niabsupport APLSUPGSNIAB nxral63 Christine disabled auto ticketing site id s Your completed hence closing NIAB reply queries box monitored nxral63 nxral63
1196,Ontario,Rediscover below interfaces on both 24*7 and WWD(WWD time zone +5.5 8am to 18PM),"
*** NOTES 13/05/2019 08:37:33 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Hi Team,
 please rediscover following interfaces

IF-dhl-h-in165-25202_GigabitEthernet0/0/1
IF-dhl-h-in484-48420_GigabitEthernet0/0/1
IF-dhl-h-in506-50603_GigabitEthernet0/0/1
IF-dhl-h-in255-24894_GigabitEthernet0/1
IF-dhl-h-in617-00001_GigabitEthernet0/1
IF-dhl-h-in591-07630_GigabitEthernet0/0/1
IF-dhl-h-in597-07504_GigabitEthernet0/1
IF-dhl-h-in653-00001_GigabitEthernet0/0/1
IF-dhl-h-in674-00001_GigabitEthernet0/0/1
IF-dhl-h-in676-00001_GigabitEthernet0/1
IF-dhl-h-in686-00001_GigabitEthernet0/1
IF-dhl-h-in696-00001_GigabitEthernet0/0/1.992
IF-dhl-h-in696-00002_GigabitEthernet0/0/1
IF-dhl-h-in506-00001_GigabitEthernet0/0/1
Regards
Vandana Massey


*** NOTES 21/05/2019 13:13:28 nxscn51 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 21/05/2019 13:13:28 nxscn51
Case Closed
",rediscover interfaces IFdhlhin16525202GigabitEthernet0/0/1 IFdhlhin48448420GigabitEthernet0/0/1 IFdhlhin50650603GigabitEthernet0/0/1 IFdhlhin25524894GigabitEthernet0/1 IFdhlhin61700001GigabitEthernet0/1 IFdhlhin59107630GigabitEthernet0/0/1 IFdhlhin59707504GigabitEthernet0/1 IFdhlhin65300001GigabitEthernet0/0/1 IFdhlhin67400001GigabitEthernet0/0/1 IFdhlhin67600001GigabitEthernet0/1 IFdhlhin68600001GigabitEthernet0/1 IFdhlhin69600001GigabitEthernet0/0/1992 IFdhlhin69600002GigabitEthernet0/0/1 IFdhlhin50600001GigabitEthernet0/0/1 Massey nxscn51 nxscn51
1197,EMSE SMARTS,Not discover in SOLUTION SMARTS for Nexans Group due to connectivity issue.,"
*** NOTES 13/05/2019 10:38:08 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
HI Team,

I have checked and found that attached 44 devices are In-service in NMDB but not discover in SOLUTION SMARTS for Nexans Group due to connectivity issue.
Please refer column ?C? & ?M? for you reference and do let me know if you require any assistance from our side.



 
*** RESEARCH LOG 20/05/2019 13:32:37 nxmcr08 Action Type: Action Taken
*** UKEEMSESMARTS        Mohamed Riswan  +91 9524304152  nxmcr08
Hi Mate,

Below devices are not responding to ping, please check this at device end.

nexcln-ap-AU004-02 - 10.100.216.6

nexcln-sw-CL003-18 - 213.140.57.83

we will rediscover the rest of devices.

Thanks and Regards,
Mohamed Riswan | SMARTS ASG



 
*** RESEARCH LOG 20/05/2019 13:32:49 nxmcr08 Action Type: Action Taken
*** UKEEMSESMARTS        Mohamed Riswan  +91 9524304152  nxmcr08
Hi Riswan,

I?ve mentioned in the excel sheet that the loopback IPs are wrong.

Please correct the loopbacks to the following.

nexcln-ap-AU004-02 - 212.140.57.162

nexcln-sw-CL003-18 - 212.140.57.83


Best regards,
Mate Majoros | Subject Matter Expert | Service Assurance | BT's Global Services division
Tel: +3617789826




 
*** RESEARCH LOG 20/05/2019 13:33:00 nxmcr08 Action Type: Action Taken
*** UKEEMSESMARTS        Mohamed Riswan  +91 9524304152  nxmcr08

Hi Mate,

Please check this corrected at NMDB.

Thanks and Regards,
Mohamed Riswan | SMARTS ASG



 
*** RESEARCH LOG 20/05/2019 13:33:09 nxmcr08 Action Type: Action Taken
*** UKEEMSESMARTS        Mohamed Riswan  +91 9524304152  nxmcr08

Hi Mate,

The given devices has been rediscovered, except nexcln-ap-tr003-01, nexcln-ap-PE001-14 because ?No response from SNMP agent? please get this corrected at device end.

Please check and confirm case closure.

Thanks and Regards,
Mohamed Riswan | SMARTS ASG



 
*** RESEARCH LOG 20/05/2019 13:33:20 nxmcr08 Action Type: Action Taken
*** UKEEMSESMARTS        Mohamed Riswan  +91 9524304152  nxmcr08
Hi Riswan,

Thank you for the update.

The below devices are Meraki access points so I?m not sure if the SNMP should work here as I could not see any SNMP settings.

Can you please advised if SNMP monitoring is working on other Nexans Meraki APs? If not we can just enable ping monitoring for these devices.


Best regards,
Mate Majoros | Subject Matter Expert | Service Assurance | BT's Global Services division
Tel: +3617789826




 
*** RESEARCH LOG 20/05/2019 13:33:31 nxmcr08 Action Type: Action Taken
*** UKEEMSESMARTS        Mohamed Riswan  +91 9524304152  nxmcr08
Hi Mate,

For other Nexans Meraki AP devices  polling class set as ?SMARTS-PING_ONLY?.

Please change the polling class as SMARTS-PING_ONLY in NMDB for below devices

nexcln-ap-tr003-01,
nexcln-ap-PE001-14

Thanks and Regards,
Mohamed Riswan | SMARTS ASG




 
*** RESEARCH LOG 20/05/2019 13:33:41 nxmcr08 Action Type: Action Taken
*** UKEEMSESMARTS        Mohamed Riswan  +91 9524304152  nxmcr08
Hello Harsh,

Can you please change it on NMBD.

Thank you in advance.

Also please let me know if further assistance required from my side. I think the rediscover of CLAN devices was succesfull and we were monitoring the incorrect IPs at IWAN devices.


Best regards,
Mate Majoros | Subject Matter Expert | Service Assurance | BT's Global Services division
Tel: +3617789826



*** NOTES 20/05/2019 13:34:03 nxmcr08 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 20/05/2019 13:34:04 nxmcr08
Case Closed
",HI checked found attached Inservice discover SOLUTION SMARTS Nexans Group due connectivity refer column C M reference require assistance side nxmcr08 UKEEMSESMARTS nxmcr08 Mate Below responding ping end nexclnapAU00402 nexclnswCL00318 rediscover rest SMARTS nxmcr08 UKEEMSESMARTS nxmcr08 excel sheet loopback IPs wrong correct loopbacks nexclnapAU00402 nexclnswCL00318 Best regards Mate Majoros Subject Matter Expert Assurance s Global Services division Tel nxmcr08 UKEEMSESMARTS nxmcr08 Mate corrected SMARTS nxmcr08 UKEEMSESMARTS nxmcr08 Mate given rediscovered except nexclnaptr00301 nexclnapPE00114 response agent corrected end closure SMARTS nxmcr08 UKEEMSESMARTS nxmcr08 Thank update Meraki points sure could settings advised monitoring working Nexans Meraki APs enable ping monitoring Best regards Mate Majoros Subject Matter Expert Assurance s Global Services division Tel nxmcr08 UKEEMSESMARTS nxmcr08 Mate Nexans Meraki AP polling class set SMARTSPINGONLY change polling class SMARTSPINGONLY nexclnaptr00301 nexclnapPE00114 SMARTS nxmcr08 UKEEMSESMARTS nxmcr08 Hello Harsh change NMBD Thank advance Also assistance side think rediscover CLAN succesfull monitoring incorrect IPs IWAN Best regards Mate Majoros Subject Matter Expert Assurance s Global Services division Tel nxmcr08 nxmcr08
1198,Standalone W4Net,W4N stopped showing data,"
*** NOTES 13/05/2019 11:03:24 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
W4N stopped showing data, please see the attached screens



 
*** RESEARCH LOG 21/05/2019 10:28:44 nxsjp53 Action Type: Action Taken
*** APLSUPWATCH4NET        Sonal Poojary    nxsjp53
Hi,
 
The devices/interfaces are now reporting in Watch4net after SMARTS have resolved the issue.Attachment sent via mail from SMARTS team confirming us the issue being resolved.
 
Istvan from your team confirmed regarding the devices/interfaces reporting as well.
 
Thus closing the case

*** NOTES 21/05/2019 10:30:46 nxsjp53 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 21/05/2019 10:30:46 nxsjp53
Case Closed
",W4N stopped showing attached screens nxsjp53 APLSUPWATCH4NET Poojary nxsjp53 devices/interfaces reporting Watch4net SMARTS resolved issueAttachment sent via SMARTS confirming resolved Istvan confirmed regarding devices/interfaces reporting well Thus closing nxsjp53 nxsjp53
1199,NIAB,NIAB : Other queries,"
*** NOTES 13/05/2019 12:12:08 FIXITBOT1 Action Type: PM Team
*** BTCOREDESK        AUTOMATED PASSWORD    FIXITBOT1
Service Request Case. Generated by BTFixIT Bridge Service Request System.

Application: NIAB
Name: Geert Pierlet
UIN: 600895020
E-mail: geert.pierlet@bt.com
Primary Contact: +32 27002428
Secondary Contact: +32495582428
--------------------------------

Customer/contract name : Eurocontrol
--------------------------------
Full Description: Dear,
Can you please arrange to have tickets automatically created 
in case of BGP Down event for the Eurocontrol Customer?
Regards,
Geert



**************************

Case should be dispatched to - APLSUPGSNIAB

[!<For Internal Use Only
BTFixIT Bridge Service Request Robot generated note!]


 
*** EMAIL OUT 15/05/2019 14:48:09 nxral63 Action Type: Internal email
Send to: [geert.pierlet@bt.com]
CC List: [niab.support@bt.com;tadavartirama.sujith@bt.com]
*** APLSUPGSNIAB        Rokya Logu  +91 8148352930  nxral63
Hi Geert,

As discussed over IM, we are in the process of raising the CR to reduce the wait time from 4mins to 2mins. We will keep you updated.



Regards
NIAB

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

 
*** EMAIL OUT 17/05/2019 08:11:04 nxral63 Action Type: Internal email
Send to: [geert.pierlet@bt.com]
CC List: [niab.support@bt.com;tadavartirama.sujith@bt.com;vidhya.jayakumar@bt.com]
*** APLSUPGSNIAB        Rokya Logu  +91 8148352930  nxral63
Hi Geert,

We have raised CR for the change you have requested and we will keep you updated.



Regards
NIAB

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

 
*** EMAIL OUT 20/05/2019 11:35:40 nxral63 Action Type: Internal email
Send to: [geert.pierlet@bt.com]
CC List: [niab.suuport@bt.com;tadavartirama.sujith@bt.com;vidhya.jayakumar@bt.com]
*** APLSUPGSNIAB        Rokya Logu  +91 8148352930  nxral63
Hi Pierlet,

As per your request, we have enabled ticketing for BGP down alarms and we have reduced the wait time from 4mins to 2mins for Euro control.

No actions are pending from NIAB, hence we are closing this case.


Regards
NIAB

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

*** NOTES 21/05/2019 10:51:30 nxral63 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 21/05/2019 10:51:30 nxral63
Case Closed
",BTCOREDESK AUTOMATED PASSWORD Generated Application NIAB Geert Pierlet UIN geertpierlet Primary Secondary Customer/contract Eurocontrol Full Description Dear arrange tickets created BGP Down event Eurocontrol Geert dispatched APLSUPGSNIAB Use Only Robot EMAIL OUT nxral63 Send geertpierlet CC List niabsupport tadavartiramasujith APLSUPGSNIAB nxral63 Geert discussed IM process raising CR reduce wait timeminsmins keep updated NIAB reply queries box monitored EMAIL OUT nxral63 Send geertpierlet CC List niabsupport tadavartiramasujith vidhyajayakumar APLSUPGSNIAB nxral63 Geert raised CR change requested keep updated NIAB reply queries box monitored EMAIL OUT nxral63 Send geertpierlet CC List niabsuuport tadavartiramasujith vidhyajayakumar APLSUPGSNIAB nxral63 Pierlet per enabled ticketing BGP alarms reduced wait timeminsmins Euro control actions pending NIAB hence closing NIAB reply queries box monitored nxral63 nxral63
1200,SMARTS MPLS,Need to migrate Customer FREUDENBERG SEALING TECHNOLOGIES GMBH & CO. KG to SOE S,"
*** NOTES 13/05/2019 15:14:36 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser

Customer Name :FREUDENBERG SEALING TECHNOLOGIES GMBH & CO. KG
CID: 2601158
Category should be :- NL-PFM
Auto TT interval:- 12min (By default)
Need configured under NGSD


*** NOTES 16/05/2019 06:28:51 nxsfp41 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 16/05/2019 06:28:51 nxsfp41
Case Closed
",FREUDENBERG SEALING TECHNOLOGIES GMBH CO KG CID Category NLPFM Auto TT intervalmin By default Need NGSD nxsfp41 nxsfp41
1201,EMSE SMARTS,EMSE SMARTS - Zscalar Tunnel Monitoring,"
*** NOTES 13/05/2019 15:26:45 FIXITBOT1 Action Type: PM Team
*** BTCOREDESK        AUTOMATED PASSWORD    FIXITBOT1
Service Request Case. Generated by BTFixIT Bridge Service Request System.

Application: EMSE SMARTS
Name: Puneet Gadamsetty
UIN: 611481755
E-mail: puneet.gadamsetty@bt.com
Primary Contact: +91 8277491882
Secondary Contact: 9591735341
--------------------------------

EMSE SMARTS Issue : Other Issues
No screenshot provided.
--------------------------------
Full Description: Please check if the provided Zscalar tunnels are under monitoring. Details provided via mail.


**************************

Case should be dispatched to - UKEEMSESMARTS

[!<For Internal Use Only
BTFixIT Bridge Service Request Robot generated note!]


 
*** RESEARCH LOG 13/05/2019 23:11:47 nxbap51 Action Type: Action Taken
***  Auto Inactive Workgroup        Bhanu Chandra Pendem  07467 472 666  nxbap51
EMSE SMARTS - Zscalar Tunnel Monitoring

 
*** RESEARCH LOG 13/05/2019 23:11:50 nxbap51 Action Type: Action Taken
***  Auto Inactive Workgroup        Bhanu Chandra Pendem  07467 472 666  nxbap51
needful has been done .

*** NOTES 13/05/2019 23:12:16 nxbap51 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 13/05/2019 23:12:17 nxbap51
Case Closed
",BTCOREDESK AUTOMATED PASSWORD Generated Application EMSE SMARTS Puneet Gadamsetty UIN puneetgadamsetty Primary Secondary EMSE SMARTS Issue Issues screenshot Full Description Zscalar tunnels monitoring Details via dispatched UKEEMSESMARTS Use Only Robot nxbap51 Auto Inactive Bhanu Chandra Pendem nxbap51 EMSE SMARTS Zscalar Tunnel Monitoring nxbap51 Auto Inactive Bhanu Chandra Pendem nxbap51 needful done nxbap51 nxbap51
1202,Standalone W4Net,JP BT NW Reports data is not updated - 138.228.210.163 abba-r-jptyo-zrh1 Gi0/0/1,"
*** NOTES 13/05/2019 20:36:31 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
From Customer:
Looking at the Watch4Net reports (https://www.globalservices.bt.com/LoginAction.do) ,  we noted that data has not been updated since May 10th. 

We have also checked and at the moment the Gi0/0/1 interface is not visible in W4Net


 
*** RESEARCH LOG 16/05/2019 12:40:47 nxsjp53 Action Type: Action Taken
*** APLSUPWATCH4NET        Sonal Poojary    nxsjp53
Hi,
The device is now reporting.Let us know via mail in-case of anything .

 
*** RESEARCH LOG 21/05/2019 10:35:37 nxsjp53 Action Type: Action Taken
*** APLSUPWATCH4NET        Sonal Poojary    nxsjp53
Hi, 
The device is now reportring in W4N. Thus closing the case.

*** NOTES 21/05/2019 10:37:59 nxsjp53 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 21/05/2019 10:37:59 nxsjp53
Case Closed
",From Looking Watch4Net reports https //wwwglobalservicesbtcom/LoginActiondo noted updated since Mayth also checked moment Gi0/0/1 interface visible W4Net nxsjp53 APLSUPWATCH4NET Poojary nxsjp53 reportingLet via incase anything nxsjp53 APLSUPWATCH4NET Poojary nxsjp53 reportring W4N Thus closing nxsjp53 nxsjp53
1203,Standalone W4Net,Watch4NetEMSE SMARTS,"
*** NOTES 13/05/2019 22:14:37 FIXITBOT1 Action Type: PM Team
*** BTCOREDESK        AUTOMATED PASSWORD    FIXITBOT1
Service Request Case. Generated by BTFixIT Bridge Service Request System.

Application: EMSE SMARTS
Name: Christopher Gioe
UIN: 603630369
E-mail: christopher.gioe@bt.com
Primary Contact: +1 732 371 2548
Secondary Contact: +17323712548
--------------------------------

EMSE SMARTS Issue : All Watch4Net Issues

Customer Contract: Jabil
No screenshot provided.
--------------------------------
Full Description: I am looking to get access to W4N for Jabil.  I tried to request via MUI but do not see it on the list.  Is Jabil a supported contract within W4N?

If not, can someone contact me about what would be needed to get it enabled?


**************************

Case should be dispatched to - APLSUPWATCH4NET

[!<For Internal Use Only
BTFixIT Bridge Service Request Robot generated note!]


 
*** RESEARCH LOG 16/05/2019 12:06:34 nxrjs65 Action Type: Action Taken
*** APLSUPWATCH4NET        Rahul Sharma [612378368]    nxrjs65
Access has been provided

closing the case

*** NOTES 16/05/2019 12:07:37 nxrjs65 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 16/05/2019 12:07:37 nxrjs65
Case Closed
",BTCOREDESK AUTOMATED PASSWORD Generated Application EMSE SMARTS Christopher Gioe UIN christophergioe Primary Secondary EMSE SMARTS Issue All Watch4Net Issues Contract Jabil screenshot Full Description looking W4N Jabil tried via MUI Is Jabil supported contract W4N someone contact would needed enabled dispatched APLSUPWATCH4NET Use Only Robot nxrjs65 APLSUPWATCH4NET Sharma nxrjs65 closing nxrjs65 nxrjs65
1204,Ontario,rediscover WWD /24 for IF-dhl-r-bd001-08860_GigabitEthernet0/1,"
*** NOTES 14/05/2019 07:02:19 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Hi Team,

Please rediscover the interface asap on both WWD and 24*7.




 
*** EMAIL OUT 16/05/2019 16:16:02 nxscn51 Action Type: Internal email
Send to: [vandana.massey@bt.com]
CC List: [BTOntario@infosys.com]
*** UKGSONTARIO2LS        Swetha N  82203 995 81  nxscn51
Hi Vandana,

The device IF-dhl-r-bd001-08860_GigabitEthernet0/1 is not reachable from Ontario Poller.

Thanks,
Swetha N
Ontario ASG.


***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

*** NOTES 16/05/2019 16:17:09 nxscn51 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 16/05/2019 16:17:09 nxscn51
Case Closed
",rediscover interface asap WWD EMAIL OUT nxscn51 Send vandanamassey CC List BTOntario infosyscom UKGSONTARIO2LS N nxscn51 IFdhlrbd00108860GigabitEthernet0/1 reachable Ontario Poller N Ontario reply queries box monitored nxscn51 nxscn51
1205,NIAB,Request for confirmation on open tickets,"
*** NOTES 14/05/2019 07:22:11 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
Kindly assist to confirm if there is any open tickets at NIAB for the sites.


 
*** RESEARCH LOG 14/05/2019 13:49:48 nxral63 Action Type: Action Taken
*** APLSUPGSNIAB        Rokya Logu  +91 8148352930  nxral63
Hi Sharmila,

For the below mentioned contract, ticketing is not switched on and hence there are no open in tickets in NIAB.


Thanks,
Mounisha S



 
*** EMAIL OUT 14/05/2019 13:53:26 nxral63 Action Type: Internal email
Send to: [sharmila.balakrishnan@bt.com]
CC List: [niab.support@bt.com]
*** APLSUPGSNIAB        Rokya Logu  +91 8148352930  nxral63
Hi Sharmila,

As per our findings, ticketing is not switched on for the below contract, hence there are no open tickets available. No actions are pending from NIAB, we will close this case.


CUSTOMER	NAME	Serial Number	SIT_ID	
CLSA LIMITED-AP	NA - UNITED STATES - NEQ - WEST SIDE AVENUE	M7966996	3600939	
CLSA LIMITED-AP	NA - UNITED STATES - NDT - MERRITT BOULEVARDM7966989	3603808		



Regards
NIAB

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

*** NOTES 15/05/2019 08:38:37 nxral63 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 15/05/2019 08:38:38 nxral63
Case Closed
",assist open tickets NIAB sites nxral63 APLSUPGSNIAB nxral63 Sharmila contract ticketing switched hence open tickets NIAB Mounisha S EMAIL OUT nxral63 Send sharmilabalakrishnan CC List niabsupport APLSUPGSNIAB nxral63 Sharmila per findings ticketing switched contract hence open tickets available actions pending NIAB close CUSTOMER NAME Serial Number SITID CLSA LIMITEDAP NA UNITED STATES NEQ WEST SIDE AVENUE M7966996 CLSA LIMITEDAP NA UNITED STATES NDT MERRITT BOULEVARDM7966989 NIAB reply queries box monitored nxral63 nxral63
1206,NIAB,NIAB : Manual addition of devices for QOS/IPSLA/IPT polling,"
*** NOTES 14/05/2019 10:37:17 FIXITBOT1 Action Type: PM Team
*** BTCOREDESK        AUTOMATED PASSWORD    FIXITBOT1
Service Request Case. Generated by BTFixIT Bridge Service Request System.

Application: NIAB
Name: Chris Hewitt
UIN: 702117914
E-mail: christopher.hewitt@bt.com
Primary Contact: +44 7979545956
Secondary Contact: +447979545956
--------------------------------

Customer/contract name : Clydesdale & Yorkshire Bank 
--------------------------------
Full Description: Hello, 
Can the devices sent in request to Jayalaxmi Poojary and Sucheta Krishnan please be added for QoS reporting on CYBG account. 
Many thanks
Chris


**************************

Case should be dispatched to - APLSUPGSNIAB

[!<For Internal Use Only
BTFixIT Bridge Service Request Robot generated note!]


 
*** EMAIL OUT 14/05/2019 14:05:58 nxral63 Action Type: Internal email
Send to: [christopher.hewitt@bt.com]
CC List: [niab.support@bt.com;jayalaxmi.poojary@bt.com]
*** APLSUPGSNIAB        Rokya Logu  +91 8148352930  nxral63
Hi Christopher,

Acknowledged, we are working on your request and we willl update you.


Regards
NIAB

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

 
*** EMAIL OUT 17/05/2019 08:38:51 nxral63 Action Type: Internal email
Send to: [christopher.hewitt@bt.com]
CC List: [niab.support@bt.com;jayalaxmi.poojary@bt.com]
*** APLSUPGSNIAB        Rokya Logu  +91 8148352930  nxral63
Hi Chris,

As per your request, we have added new devices for QoS data collection so kindly check and confirm us back. Since no actions are pending from NIAB, we will be proceed for case closure. If you have any queries, kindly contact us.


Regards
NIAB






***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

*** NOTES 20/05/2019 07:44:52 nxral63 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 20/05/2019 07:44:52 nxral63
Case Closed
",BTCOREDESK AUTOMATED PASSWORD Generated Application NIAB Chris Hewitt UIN christopherhewitt Primary Secondary Customer/contract Clydesdale Yorkshire Bank Full Description Hello sent Jayalaxmi Poojary Sucheta Krishnan added QoS reporting CYBG account Many thanks Chris dispatched APLSUPGSNIAB Use Only Robot EMAIL OUT nxral63 Send christopherhewitt CC List niabsupport jayalaxmipoojary APLSUPGSNIAB nxral63 Christopher Acknowledged working willl update NIAB reply queries box monitored EMAIL OUT nxral63 Send christopherhewitt CC List niabsupport jayalaxmipoojary APLSUPGSNIAB nxral63 Chris per added QoS collection kindly back Since actions pending NIAB proceed closure queries kindly contact NIAB reply queries box monitored nxral63 nxral63
1207,NIAB,NIAB : Other queries,"
*** NOTES 14/05/2019 10:50:21 FIXITBOT1 Action Type: PM Team
*** BTCOREDESK        AUTOMATED PASSWORD    FIXITBOT1
Service Request Case. Generated by BTFixIT Bridge Service Request System.

Application: NIAB
Name: Nathan Carter
UIN: 608643142
E-mail: nathan.carter@bt.com
Primary Contact: 07483 149236
Secondary Contact: 07483149236
--------------------------------

Customer/contract name : Dixons Carphone
--------------------------------
Full Description: Hello,
Please clear the old alarms for dcgp-rt-dgbeastmidlands0848-03

Device ceased but still appearing on NIAB


**************************

Case should be dispatched to - APLSUPGSNIAB

[!<For Internal Use Only
BTFixIT Bridge Service Request Robot generated note!]


 
*** RESEARCH LOG 16/05/2019 05:51:20 nxdaa72 Action Type: Action Taken
*** APLSUPGSNIAB        Divya Arora [612119701]  +916362393418  nxdaa72
Hi Nathan,

As per the investigation, the device: dcgp-rt-dgbeastmidlands0848-03 is still active in NIAB as ceased inventory has not been received. Could you please retrigger the cease inventory again to get it ceased. Kindly let us know if any help is required from our side.

Regards,
Divya Arora

Application Support - NIAB



*** NOTES 17/05/2019 06:46:13 nxdaa72 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 17/05/2019 06:46:13 nxdaa72
Case Closed
",BTCOREDESK AUTOMATED PASSWORD Generated Application NIAB Nathan UIN nathancarter Primary Secondary Customer/contract Dixons Carphone Full Description Hello clear old alarms dcgprtdgbeastmidlands084803 ceased still appearing NIAB dispatched APLSUPGSNIAB Use Only Robot nxdaa72 APLSUPGSNIAB Divya Arora nxdaa72 Nathan per investigation dcgprtdgbeastmidlands084803 still active NIAB ceased inventory received Could retrigger cease inventory ceased help side Divya Arora Application Support NIAB nxdaa72 nxdaa72
